,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
66,FINNEAS,Another Year,0.596,0.0992,1,-13.262,0,0.0299,0.97,1.02e-05,0.101,0.267,80.181,audio_features,1v4HRWBmiwBcJODNWyhKO6,spotify:track:1v4HRWBmiwBcJODNWyhKO6,https://api.spotify.com/v1/tracks/1v4HRWBmiwBcJODNWyhKO6,https://api.spotify.com/v1/audio-analysis/1v4HRWBmiwBcJODNWyhKO6,256648,4
67,Alicia Keys,Wasted Energy (feat. Kaash Paige & Diamond Platnumz) - Remix,0.688,0.638,11,-5.562,0,0.0907,0.146,0.000669,0.0805,0.83,79.948,audio_features,7IM5Blpr2xlz9hFBgr79cC,spotify:track:7IM5Blpr2xlz9hFBgr79cC,https://api.spotify.com/v1/tracks/7IM5Blpr2xlz9hFBgr79cC,https://api.spotify.com/v1/audio-analysis/7IM5Blpr2xlz9hFBgr79cC,277610,4
68,ZAYN,Connexion,0.619,0.375,2,-10.06,0,0.0886,0.59,0,0.108,0.574,171.797,audio_features,5euRP53moGQyGCsq8aNjvo,spotify:track:5euRP53moGQyGCsq8aNjvo,https://api.spotify.com/v1/tracks/5euRP53moGQyGCsq8aNjvo,https://api.spotify.com/v1/audio-analysis/5euRP53moGQyGCsq8aNjvo,196493,4
69,JP Saxe,Line By Line (feat. Maren Morris),0.645,0.486,0,-7.299,1,0.0425,0.274,0,0.135,0.453,72.536,audio_features,2gA74HvN6NKFrhgzpd5oNE,spotify:track:2gA74HvN6NKFrhgzpd5oNE,https://api.spotify.com/v1/tracks/2gA74HvN6NKFrhgzpd5oNE,https://api.spotify.com/v1/audio-analysis/2gA74HvN6NKFrhgzpd5oNE,208187,4
70,Jamie Miller,City That Never Sleeps,0.598,0.596,11,-4.95,1,0.114,0.504,0,0.0829,0.785,81.463,audio_features,2jv9q6oVcAlrVLk9QEmzar,spotify:track:2jv9q6oVcAlrVLk9QEmzar,https://api.spotify.com/v1/tracks/2jv9q6oVcAlrVLk9QEmzar,https://api.spotify.com/v1/audio-analysis/2jv9q6oVcAlrVLk9QEmzar,164725,3
71,WATTS,Feels (feat. Khalid),0.548,0.35,7,-12.52,1,0.0579,0.273,0.0041,0.362,0.0802,167.682,audio_features,6LZ9FO9UsGIcTKbShnfNsG,spotify:track:6LZ9FO9UsGIcTKbShnfNsG,https://api.spotify.com/v1/tracks/6LZ9FO9UsGIcTKbShnfNsG,https://api.spotify.com/v1/audio-analysis/6LZ9FO9UsGIcTKbShnfNsG,221975,4
72,Alicia Keys,So Done (feat. Khalid),0.587,0.431,7,-7.522,0,0.0638,0.788,0,0.104,0.367,82.427,audio_features,0DC6yJLAPwIEeZh6EZpn1f,spotify:track:0DC6yJLAPwIEeZh6EZpn1f,https://api.spotify.com/v1/tracks/0DC6yJLAPwIEeZh6EZpn1f,https://api.spotify.com/v1/audio-analysis/0DC6yJLAPwIEeZh6EZpn1f,234867,4
73,Alicia Keys,Perfect Way To Die,0.442,0.409,5,-5.592,1,0.0379,0.941,6.89e-05,0.207,0.246,85.218,audio_features,4rxetbgJZra2oJKBIF8vr5,spotify:track:4rxetbgJZra2oJKBIF8vr5,https://api.spotify.com/v1/tracks/4rxetbgJZra2oJKBIF8vr5,https://api.spotify.com/v1/audio-analysis/4rxetbgJZra2oJKBIF8vr5,211067,4
74,Alicia Keys,Love Looks Better,0.562,0.683,1,-6.179,1,0.0328,0.0211,0,0.176,0.464,97.061,audio_features,0HL5XOeVxgX1cEPY2KgRRa,spotify:track:0HL5XOeVxgX1cEPY2KgRRa,https://api.spotify.com/v1/tracks/0HL5XOeVxgX1cEPY2KgRRa,https://api.spotify.com/v1/audio-analysis/0HL5XOeVxgX1cEPY2KgRRa,203320,4
75,Alicia Keys,Authors Of Forever,0.697,0.63,7,-5.767,1,0.224,0.512,1.91e-05,0.121,0.68,98.081,audio_features,13BHxtf5YIEODKlf8wRyXp,spotify:track:13BHxtf5YIEODKlf8wRyXp,https://api.spotify.com/v1/tracks/13BHxtf5YIEODKlf8wRyXp,https://api.spotify.com/v1/audio-analysis/13BHxtf5YIEODKlf8wRyXp,217560,4
76,Alicia Keys,Underdog,0.657,0.726,0,-4.74,0,0.0458,0.542,0,0.137,0.282,90.105,audio_features,7FsAFw1oZeTJUZmIzSh0cg,spotify:track:7FsAFw1oZeTJUZmIzSh0cg,https://api.spotify.com/v1/tracks/7FsAFw1oZeTJUZmIzSh0cg,https://api.spotify.com/v1/audio-analysis/7FsAFw1oZeTJUZmIzSh0cg,204400,4
77,Alicia Keys,A Beautiful Noise,0.563,0.328,0,-6.873,1,0.061,0.948,1.28e-06,0.114,0.265,75.85,audio_features,4Z8DyhYIN47p8LgrPVOYeL,spotify:track:4Z8DyhYIN47p8LgrPVOYeL,https://api.spotify.com/v1/tracks/4Z8DyhYIN47p8LgrPVOYeL,https://api.spotify.com/v1/audio-analysis/4Z8DyhYIN47p8LgrPVOYeL,199090,3
78,Ashe,When I'm Older,0.39,0.312,10,-11.715,1,0.0339,0.752,0,0.16,0.351,101.706,audio_features,7AlOPQSiZicj3Y5wIBAwCG,spotify:track:7AlOPQSiZicj3Y5wIBAwCG,https://api.spotify.com/v1/tracks/7AlOPQSiZicj3Y5wIBAwCG,https://api.spotify.com/v1/audio-analysis/7AlOPQSiZicj3Y5wIBAwCG,170242,4
79,Ashe,I'm Fine,0.521,0.486,9,-6.547,1,0.0273,0.0951,0,0.147,0.279,147.964,audio_features,27gRd0sbdd8cJdI6yx6dt8,spotify:track:27gRd0sbdd8cJdI6yx6dt8,https://api.spotify.com/v1/tracks/27gRd0sbdd8cJdI6yx6dt8,https://api.spotify.com/v1/audio-analysis/27gRd0sbdd8cJdI6yx6dt8,136345,4
80,Faouzia,Bad Dreams - Stripped,0.637,0.323,6,-9.581,0,0.0352,0.731,0,0.114,0.367,110.882,audio_features,4II6CiYRsyuERn0KvUJoTG,spotify:track:4II6CiYRsyuERn0KvUJoTG,https://api.spotify.com/v1/tracks/4II6CiYRsyuERn0KvUJoTG,https://api.spotify.com/v1/audio-analysis/4II6CiYRsyuERn0KvUJoTG,171351,4
81,Faouzia,The Road,0.538,0.698,8,-5.57,1,0.0349,0.0216,0,0.336,0.263,135.1,audio_features,1UID3iRWwHeoQJahHBBEWb,spotify:track:1UID3iRWwHeoQJahHBBEWb,https://api.spotify.com/v1/tracks/1UID3iRWwHeoQJahHBBEWb,https://api.spotify.com/v1/audio-analysis/1UID3iRWwHeoQJahHBBEWb,198667,4
